fileName,songID,Genre,SongName,UserID,Rating,Feeling,Gender
pop/1.mp3,1,POP,Beyond Late,180,5,relaxing,M
pop/1.mp3,1,POP,Beyond Late,176,3,energizing,M
pop/1.mp3,1,POP,Beyond Late,176,3,happy,M
pop/1.mp3,1,POP,Beyond Late,176,4,joyful,M
pop/1.mp3,1,POP,Beyond Late,173,5,energizing,M
pop/1.mp3,1,POP,Beyond Late,170,5,neutral,M
pop/2.mp3,2,POP,To climb,176,3,amusing,M
pop/2.mp3,2,POP,To climb,176,4,happy,M
pop/2.mp3,2,POP,To climb,177,2,dreamy,M
pop/2.mp3,2,POP,To climb,175,5,happy,M
pop/2.mp3,2,POP,To climb,175,0,neutral,M
pop/3.mp3,3,POP,Salem,176,5,neutral,M
pop/3.mp3,3,POP,Salem,177,1,annoying,M
pop/4.mp3,4,POP,Persephone,1,5,happy,M
pop/4.mp3,4,POP,Persephone,181,5,energizing,F
pop/4.mp3,4,POP,Persephone,177,2,anxious,M
pop/4.mp3,4,POP,Persephone,173,1,sad,M
pop/4.mp3,4,POP,Persephone,173,3,dreamy,M
pop/4.mp3,4,POP,Persephone,172,5,happy,M
pop/4.mp3,4,POP,Persephone,170,5,dreamy,M
pop/4.mp3,4,POP,Persephone,168,4,dreamy,M
pop/4.mp3,4,POP,Persephone,167,5,amusing,F
pop/4.mp3,4,POP,Persephone,166,5,energizing,M
pop/4.mp3,4,POP,Persephone,165,4,energizing,F
pop/4.mp3,4,POP,Persephone,165,1,sad,F
pop/4.mp3,4,POP,Persephone,164,1,happy,F
pop/4.mp3,4,POP,Persephone,164,1,dreamy,F
pop/4.mp3,4,POP,Persephone,164,2,amusing,F
pop/4.mp3,4,POP,Persephone,164,5,relaxing,F
pop/4.mp3,4,POP,Persephone,162,5,neutral,M
pop/5.mp3,5,POP,Sanctuary,180,5,happy,M
pop/5.mp3,5,POP,Sanctuary,179,2,amusing,M
pop/5.mp3,5,POP,Sanctuary,179,3,happy,M
pop/5.mp3,5,POP,Sanctuary,179,4,energizing,M
pop/5.mp3,5,POP,Sanctuary,178,4,relaxing,F
pop/6.mp3,6,POP,fifteen Minutes,179,3,relaxing,M
pop/6.mp3,6,POP,fifteen Minutes,178,5,sad,F
pop/6.mp3,6,POP,fifteen Minutes,177,1,dreamy,M
pop/6.mp3,6,POP,fifteen Minutes,172,4,happy,M
pop/6.mp3,6,POP,fifteen Minutes,170,5,relaxing,M
pop/6.mp3,6,POP,fifteen Minutes,169,5,neutral,M
pop/7.mp3,7,POP,Drink the night,178,4,relaxing,F
pop/7.mp3,7,POP,Drink the night,177,2,sad,M
pop/7.mp3,7,POP,Drink the night,175,5,relaxing,M
pop/7.mp3,7,POP,Drink the night,174,4,energizing,M
pop/7.mp3,7,POP,Drink the night,174,4,relaxing,M
pop/7.mp3,7,POP,Drink the night,174,5,amusing,M
pop/7.mp3,7,POP,Drink the night,41,5,dreamy,M
pop/7.mp3,7,POP,Drink the night,172,5,happy,M
pop/7.mp3,7,POP,Drink the night,170,5,dreamy,M
pop/7.mp3,7,POP,Drink the night,169,5,dreamy,M
pop/7.mp3,7,POP,Drink the night,168,4,relaxing,M
pop/7.mp3,7,POP,Drink the night,166,5,neutral,M
pop/8.mp3,8,POP,The Alkonost,178,5,dreamy,F
pop/8.mp3,8,POP,The Alkonost,174,5,dreamy,M
pop/8.mp3,8,POP,The Alkonost,174,4,amusing,M
electronic/100.mp3,401,ELECTRIC,The Alkonost,41,4,amusing,M
pop/8.mp3,8,POP,The Alkonost,172,5,amusing,M
pop/8.mp3,8,POP,The Alkonost,170,5,joyful,M
pop/8.mp3,8,POP,The Alkonost,169,5,neutral,M
pop/9.mp3,9,POP,A warning to giants,178,4,anxious,F
pop/9.mp3,9,POP,A warning to giants,41,3,sad,M
pop/9.mp3,9,POP,A warning to giants,172,5,happy,M
pop/9.mp3,9,POP,A warning to giants,170,5,relaxing,M
pop/9.mp3,9,POP,A warning to giants,169,5,anxious,M
pop/9.mp3,9,POP,A warning to giants,168,4,dreamy,M
pop/9.mp3,9,POP,A warning to giants,167,5,sad,F
pop/9.mp3,9,POP,A warning to giants,167,5,relaxing,F
pop/9.mp3,9,POP,A warning to giants,165,5,relaxing,F
pop/9.mp3,9,POP,A warning to giants,77,4,dreamy,F
pop/9.mp3,9,POP,A warning to giants,164,4,relaxing,F
pop/9.mp3,9,POP,A warning to giants,87,2,joyful,F
pop/9.mp3,9,POP,A warning to giants,87,1,energizing,F
pop/9.mp3,9,POP,A warning to giants,87,4,dreamy,F
pop/9.mp3,9,POP,A warning to giants,87,3,anxious,F
pop/9.mp3,9,POP,A warning to giants,87,5,annoying,F
pop/9.mp3,9,POP,A warning to giants,87,2,amusing,F
pop/9.mp3,9,POP,A warning to giants,87,4,sad,F
pop/9.mp3,9,POP,A warning to giants,87,3,happy,F
